model,question,hallucination,accuracy,relevance,retreival quality
n,45,1,1,1,1
n,46,1,1,1,1
n,47,1,1,1,1
n,48,4,4,5,4
n,49,5,0,1,1
n,50,4,4,5,4
n,51,4,4,5,4
n,52,4,4,5,4
n,53,5,0,1,1
r,0,4,4,5,4
r,1,4,4,5,4
r,2,4,4,5,4
r,3,4,4,5,4
r,4,4,4,5,4
r,5,4,4,5,4
r,6,5,0,1,1
r,7,4,4,5,4
r,8,4,4,5,4
r,9,4,4,5,4
r,10,4,4,5,4
r,11,4,4,5,4
r,12,4,4,5,4
r,13,4,4,5,4
r,14,4,4,5,4
r,15,4,4,5,4
r,16,4,4,5,4
r,17,4,4,5,4
r,18,4,4,5,4
r,19,4,4,5,4
r,20,4,4,5,4
r,21,4,4,5,4
r,22,4,4,5,4
r,23,4,4,5,4
r,24,4,4,5,4
r,25,4,4,5,4
r,26,4,4,5,4
r,27,4,4,5,4
r,28,4,4,5,4
r,29,4,4,5,4
r,30,4,4,5,4
r,31,5,0,1,1
r,32,4,4,5,4
r,33,4,4,5,4
r,34,4,4,5,4
r,35,4,4,5,4
r,36,4,4,5,4
r,37,4,4,5,4
r,38,4,4,5,4
r,39,4,4,5,4
r,40,4,4,5,4
r,41,4,4,5,4
r,42,1,1,1,1
r,43,1,1,1,1
r,44,1,1,1,1
r,45,1,1,1,1
r,46,1,1,1,1
r,47,1,1,1,1
r,48,4,4,5,4
r,49,5,0,1,1
r,50,4,4,5,4
r,51,4,4,5,4
r,52,4,4,5,4
r,53,5,0,1,1
